,name,open_gross,open_thea,budget,runtime,MPAArating,Sci-Fi,Adventure,Action,Animation,Musical,Comedy,Fantasy,Thriller,Horror,Drama,Romance,Historical,Western,Family,Crime,Concert,Documentary,Sports,War,Director_gross,Actor_gross,studio_gross,mean_score_mtc,comment_count_mtc,trend_a_week,trend_two_week,trend_a_day,hot_season,tier-a-series,strong_competition
108,The Choice,6050443,2631,10.0,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,695292902.0,431399700.0,3903.3,31.38461538,13.0,44.1114331,26.53578397,86.84438391,0,0,0
109,Eye in the Sky,3961556,1029,13.0,102,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1769523300.0,22.5,72.55882353,34.0,15.507925699999998,7.926273135,24.12343998,0,0,1
110,Bad Santa 2,6176680,2920,26.0,87,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,611368000.0,3593473000.0,34.7,44.095238099999996,21.0,20.93625382,8.052405315,47.91181163,1,0,1
111,Masterminds (2016),6541205,3042,25.0,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1533581500.0,932.7,49.45,20.0,27.78079834,6.039303987,64.82186279,0,0,1
112,Norm of the North,6844137,2411,18.0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1321469700.0,3903.3,25.7,10.0,8.270893706,3.790826282,19.29875198,0,0,0
113,The Birth of a Nation,7004254,2105,8.5,110,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,860508900.0,652.1,71.66666667,45.0,42.27512791,10.87074718,93.00528139,0,0,1
114,Eddie the Eagle,6084682,2042,23.0,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,2914121200.0,6160.9,59.10714286,28.0,8.270893706,6.54779085,12.06171999,0,0,0
115,The Infiltrator,5303775,1601,28.0,127,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,85853100.0,966177800.0,34.7,66.73684211,19.0,17.58641852,7.646268921,32.11432947,1,0,0
116,Keeping Up with the Joneses,5461475,3022,40.0,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1372008800.0,6160.9,41.14814815,27.0,25.76769701,10.87074718,50.73015349,0,0,1
117,Criminal (2016),5767278,2683,18.5,113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,3358466900.0,3903.3,42.85,20.0,18.35104541,9.940149597000001,42.81910596,0,0,1
118,Room,1335563,862,13.0,118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,353136100.0,96.8,86.3255814,43.0,58.111643799999996,55.05313623,37.46671771,0,0,0
119,"Hello, My Name is Doris",2376822,963,1.0,95,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,4379942500.0,166.7,63.217391299999996,23.0,30.58507568,17.58641852,26.76194122,0,0,1
120,The Edge of Seventeen,4754215,1945,9.0,99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,3555749900.0,63.9,77.23333333,30.0,0.0,0.0,0.0,1,0,1
121,Love & Friendship,2139663,819,3.0,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28616500.0,1413462500.0,166.7,85.77777778,36.0,53.93719428,25.72866164,32.54830689,1,0,0
122,Hillary's America: The Secret History of the Democratic Party,3964646,1217,5.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,695292902.0,1706252291.0,4540.0,7.6,15.0,72.0,34.0,127.0,1,0,1
123,Carol,1458049,790,11.8,118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,3606253700.0,1569.5,93.52272727,44.0,46.1875974,31.92833914,49.9074039,0,0,0
124,Triple 9,6109085,2205,20.0,115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54881400.0,1077103900.0,542.6,56.54285714,35.0,29.13848427,10.84943563,62.92672666,0,0,0
125,The Light Between Oceans,4765838,1500,20.0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33833900.0,1128245900.0,8400.8,64.07894737,38.0,26.00723059,10.91661531,49.4458458,0,0,0
126,Fifty Shades of Black,5900528,2075,5.0,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63612000.0,1131814400.0,542.6,58.0,29.0,33.16827464,24.48872614,56.41706528,0,0,0
127,The Danish Girl,526374,794,15.0,120,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,336058300.0,319579600.0,616.1,67.875,40.0,27.5995055,28.88320343,15.72529964,0,0,0
128,Cafe Society,1605786,631,30.0,96,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1382609900.0,3277555300.0,3903.3,65.51351351,37.0,37.24492281,18.30138449,22.47538446,0,0,0
129,Pride and Prejudice and Zombies,5324240,2931,28.0,108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6438.3,50.53846154,26.0,25.673958600000002,16.68807309,42.68295618,0,0,0
130,The Darkness,4950859,1755,4.0,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,695292902.0,2702757800.0,7.2,58.0,29.0,19.25546895,5.455716203,51.66884169,1,0,1
131,Nocturnal Animals,3161381,1262,22.5,115,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10369600.0,2057151400.0,616.1,69.55555556,45.0,62.60999956,47.51938428,69.67369181,1,0,1
132,The Lady in the Van,2329885,540,6.0,104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1265713100.0,314.2,72.63333333,30.0,19.89731792,8.344036546,13.47882827,0,0,0
133,The Perfect Match,4294232,925,5.0,96,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,114019500.0,662279500.0,3903.3,58.0,29.0,72.0,34.0,127.0,0,0,0
134,Popstar: Never Stop Never Stopping,4698715,2311,20.0,86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56971100.0,691029200.0,7358.0,70.06060606,33.0,24.37421445,11.79397473,49.53469388,1,0,0
135,Hardcore Henry,5107604,3015,2.0,95,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,628385700.0,63.9,51.48148148,27.0,36.95445416,20.83602203,74.30204082,0,0,1
136,Meet the Blacks,4055940,1015,0.9,93,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,85.759,58.0,29.0,72.0,34.0,127.0,0,0,1
137,Queen of Katwe,2495427,1242,15.0,124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,113519500.0,1129911100.0,8400.8,74.36111111,36.0,72.0,34.0,127.0,0,0,1
138,Ratchet & Clank,4869278,2891,20.0,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1223580900.0,616.1,36.94117647,17.0,11.79397473,7.07638484,19.26349206,0,0,1
139,The Wild Life (2016),3342696,2493,13.0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,3903.3,39.53846154,13.0,72.0,34.0,127.0,0,0,1
140,Shut In,3613567,2058,10.0,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1108581800.0,16.1,38.0,1.0,14.76953836,6.421538416000001,35.96061513,1,0,1
141,The Brothers Grimsby,3258327,2235,35.0,83,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,570671300.0,1568393900.0,6438.3,50.83333333,24.0,36.56132167,8.648914804,60.54240363,0,0,0
142,The Young Messiah,3294876,1761,18.5,111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,695292902.0,1706252291.0,616.1,58.0,29.0,11.913832199999998,4.866213152,27.01587302,0,0,0
143,Southside with You,2868403,813,1.5,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,166.7,75.94117647,34.0,72.0,34.0,127.0,0,0,1
144,Bleed for This,2366810,1549,6.0,116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,695292902.0,1673159100.0,542.6,63.86206897,29.0,32.80603438,20.07533447,37.70245743,1,0,1
145,Incarnate,2534884,1737,5.0,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,333863700.0,1673159100.0,7.2,58.0,29.0,12.24105761,3.672317282,41.12995355,1,0,1
146,Hands of Stone,1751388,810,20.0,105,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,5429019700.0,1569.5,56.66666667,27.0,35.00942475,11.751415300000001,51.41244194,0,0,1
147,Swiss Army Man,1414751,636,3.0,95,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,701163300.0,96.8,64.03333333,30.0,33.5600907,9.06122449,63.42857143,1,0,0
148,Denial,954159,648,10.0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1677119000.0,22.5,67.26666667,30.0,12.42712168,8.989832706,12.95593537,0,0,1
149,Morgan,2012709,2020,8.0,92,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,53.11111111,27.0,19.56610648,11.10508746,33.31526238,0,0,0
150,Max Steel,2182216,2034,10.0,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,542.6,58.0,29.0,10.04746008,6.081357418,18.508479100000002,0,0,1
151,Batman: The Killing Joke,3775000,1325,3.5,76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,4540.0,58.0,29.0,14.430839,4.698412698,32.88888889,1,0,1
152,Rules Don't Apply,1589625,2382,25.0,126,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,61.75,28.0,14.19600347,9.86501936,40.42251835,1,0,1
153,Miss Sloane,1844972,1648,13.0,132,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369756800.0,1191203100.0,16.1,64.60606061,33.0,16.60210575,10.58685005,35.36970356,1,0,1
154,Green Room,411376,777,5.0,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277000.0,277000.0,96.8,79.04761905,42.0,24.83446712,40.60770975,17.61904762,1,0,1
155,The Disappointments Room,1402823,1554,15.0,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,373078400.0,1413462500.0,932.7,58.0,29.0,15.15844438,15.39905461,23.57980237,0,0,1
156,Hillsong - Let Hope Rise,1357243,816,10.0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,695292902.0,1706252291.0,28.4,56.66666667,3.0,72.0,34.0,127.0,0,0,1
157,Demolition,1100042,854,10.0,101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83654600.0,2219616900.0,652.1,54.12121212,33.0,9.571428571,4.0,22.0,0,0,1
158,Billy Lynn's Long Halftime Walk,901062,1176,40.0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,695292902.0,1706252291.0,6438.3,54.68421053,38.0,19.00820804,9.624409132,23.57980237,1,0,1
159,I Saw the Light,683990,741,13.0,123,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5525100.0,1297147800.0,314.2,49.85714286,28.0,11.57142857,4.714285714,14.0,0,0,1
160,Jane Got a Gun,835572,1210,25.0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,129761700.0,2911712600.0,1569.5,50.0,3.0,4.428571429,0.7142857140000001,14.0,0,0,0
161,The Neon Demon,589014,783,7.0,117,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40596100.0,706709200.0,34.7,53.07692308,39.0,24.14285714,10.57142857,47.0,1,0,1
162,Believe (2016),477387,638,3.5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,695292902.0,1706252291.0,85.759,30.0,1.0,72.0,34.0,127.0,1,0,1
163,The Bronze,386328,1167,3.5,108,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,824477100.0,314.2,45.79166667,24.0,14.71428571,3.714285714,32.0,0,0,1
164,The Bounce Back,227354,615,3.0,104,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,0.0082,50.0,1.0,3.127932968,0.48122045700000005,10.10562959,1,0,1
