rank,name,name_link,total_gross,total_thea,open_gross,open_thea,open_date,close_date,budget,studio,genre,runtime,MPAArating,Director_list,Director_links,Writer_list,Writer_links,Actor_list,Actor_links,Producer_list,Producer_links,Cinematographer_list,Cinematographer_links,Composer_list,Composer_links
27,Independence Day: Resurgence,http://www.boxofficemojo.com//movies/?id=id42.htm,103144286,4130,41039944,4130,6/24,9/15,$165 million,Fox,Sci-Fi Adventure,2 hrs. 0 min.,PG-13,Roland Emmerich | ,/people/chart/?view=Director&id=rolandemmerich.htm | ,,,Liam Hemsworth | Jeff Goldblum | Joey King | ,/people/chart/?view=Actor&id=liamhemsworth.htm | /people/chart/?view=Actor&id=jeffgoldblum.htm | /people/chart/?view=Actor&id=joeyking.htm | ,Dean Devlin | Roland Emmerich | Harald Kloser | ,/people/chart/?view=Producer&id=deandevlin.htm | /people/chart/?view=Producer&id=rolandemmerich.htm | /people/chart/?view=Producer&id=haraldkloser.htm | ,,,,
29,Arrival,http://www.boxofficemojo.com//movies/?id=arrival2016.htm,100546139,3115,24074047,2317,11/11,3/9,$47 million,Par.,Sci-Fi,1 hrs. 56 min.,PG-13,Denis Villeneuve | ,/people/chart/?view=Director&id=denisvilleneuve.htm | ,,,Amy Adams | Jeremy Renner | Forest Whitaker | ,/people/chart/?view=Actor&id=amyadams.htm | /people/chart/?view=Actor&id=jeremyrenner.htm | /people/chart/?view=Actor&id=forestwhitaker.htm | ,,,,,,
31,Sausage Party,http://www.boxofficemojo.com//movies/?id=sausageparty.htm,97685686,3135,34263534,3103,8/12,12/22,$19 million,Sony,Animation,1 hrs. 29 min.,R,Conrad Vernon | ,/people/chart/?view=Director&id=conradvernon.htm | ,Evan Goldberg | Seth Rogen | ,/people/chart/?view=Writer&id=evangoldberg.htm | /people/chart/?view=Writer&id=sethrogen.htm | ,Seth Rogen | Kristen Wiig | Salma Hayek | Edward Norton | Michael Cera | James Franco | Jonah Hill | Paul Rudd | Danny McBride | ,/people/chart/?view=Actor&id=sethrogen.htm | /people/chart/?view=Actor&id=kristenwiig.htm | /people/chart/?view=Actor&id=salmahayek.htm | /people/chart/?view=Actor&id=edwardnorton.htm | /people/chart/?view=Actor&id=michaelcera.htm | /people/chart/?view=Actor&id=jamesfranco.htm | /people/chart/?view=Actor&id=jonahhill.htm | /people/chart/?view=Actor&id=paulrudd.htm | /people/chart/?view=Actor&id=dannymcbride.htm | ,Megan Ellison | Evan Goldberg | Jonah Hill | Seth Rogen | Conrad Vernon | ,/people/chart/?view=Producer&id=meganellison.htm | /people/chart/?view=Producer&id=evangoldberg.htm | /people/chart/?view=Producer&id=jonahhill.htm | /people/chart/?view=Producer&id=sethrogen.htm | /people/chart/?view=Producer&id=conradvernon.htm | ,,,Alan Menken | ,/people/chart/?view=Composer&id=alanmenken.htm | 
33,Ride Along 2,http://www.boxofficemojo.com//movies/?id=ridealong2.htm,91221830,3192,35243095,3175,1/15,6/16,$40 million,Uni.,Action Comedy,1 hrs. 41 min.,PG-13,Tim Story | ,/people/chart/?view=Director&id=timstory.htm | ,Phil Hay | Matt Manfredi | ,/people/chart/?view=Writer&id=philhay.htm | /people/chart/?view=Writer&id=mattmanfredi.htm | ,Kevin Hart | Ice Cube | Benjamin Bratt | Tyrese Gibson | ,/people/chart/?view=Actor&id=kevinhart.htm | /people/chart/?view=Actor&id=icecube.htm | /people/chart/?view=Actor&id=benjaminbratt.htm | /people/chart/?view=Actor&id=tyresegibson.htm | ,Ice Cube | Will Packer | ,/people/chart/?view=Producer&id=icecube.htm | /people/chart/?view=Producer&id=willpacker.htm | ,,,,
35,Miss Peregrine's Home for Peculiar Children,http://www.boxofficemojo.com//movies/?id=peregrine.htm,87242834,3835,28871140,3522,9/30,2/9,$110 million,Fox,Fantasy,2 hrs. 7 min.,PG-13,Tim Burton | ,/people/chart/?view=Director&id=timburton.htm | ,,,Eva Green | Allison Janney | Judi Dench | Samuel L. Jackson | ,/people/chart/?view=Actor&id=evagreen.htm | /people/chart/?view=Actor&id=allisonjanney.htm | /people/chart/?view=Actor&id=judidench.htm | /people/chart/?view=Actor&id=samuelljackson.htm | ,Peter Chernin | ,/people/chart/?view=Producer&id=peterchernin.htm | ,,,Danny Elfman | ,/people/chart/?view=Composer&id=dannyelfman.htm | 
37,Teenage Mutant Ninja Turtles: Out of the Shadows,http://www.boxofficemojo.com//movies/?id=tmnt2016.htm,82051601,4071,35316382,4071,6/3,9/8,$135 million,Par.,Action / Adventure,1 hrs. 52 min.,PG-13,Dave Green | ,/people/chart/?view=Director&id=davegreen.htm | ,,,Megan Fox | Laura Linney | Tyler Perry | ,/people/chart/?view=Actor&id=meganfox.htm | /people/chart/?view=Actor&id=lauralinney.htm | /people/chart/?view=Actor&id=tylerperry.htm | ,Michael Bay | Andrew Form | Brad Fuller | Scott Mednick | ,/people/chart/?view=Producer&id=michaelbay.htm | /people/chart/?view=Producer&id=andrewform.htm | /people/chart/?view=Producer&id=bradfuller.htm | /people/chart/?view=Producer&id=scottmednick.htm | ,,,Steve Jablonsky | ,/people/chart/?view=Composer&id=stevejablonsky.htm | 
39,Alice Through the Looking Glass,http://www.boxofficemojo.com//movies/?id=alice2.htm,77041381,3763,26858726,3763,5/27,9/1,$170 million,BV,Family Adventure,1 hrs. 52 min.,PG,,,Linda Woolverton | ,/people/chart/?view=Writer&id=lindawoolverton.htm | ,Johnny Depp | Anne Hathaway | Mia Wasikowska | Helena Bonham Carter | Rhys Ifans | Alan Rickman | Sacha Baron Cohen | ,/people/chart/?view=Actor&id=johnnydepp.htm | /people/chart/?view=Actor&id=annehathaway.htm | /people/chart/?view=Actor&id=miawasikowska.htm | /people/chart/?view=Actor&id=helenabonhamcarter.htm | /people/chart/?view=Actor&id=rhysifans.htm | /people/chart/?view=Actor&id=alanrickman.htm | /people/chart/?view=Actor&id=sachabaroncohen.htm | ,Tim Burton | Joe Roth | ,/people/chart/?view=Producer&id=timburton.htm | /people/chart/?view=Producer&id=joeroth.htm | ,,,Danny Elfman | ,/people/chart/?view=Composer&id=dannyelfman.htm | 
41,The Girl on the Train (2016),http://www.boxofficemojo.com//movies/?id=thegirlonthetrain2016.htm,75395035,3241,24536265,3144,10/7,12/29,$45 million,Uni.,Thriller,1 hrs. 52 min.,R,Tate Taylor | ,/people/chart/?view=Director&id=tatetaylor.htm | ,,,Emily Blunt | Rebecca Ferguson | Luke Evans | Allison Janney | Edgar Ramirez | Lisa Kudrow | ,/people/chart/?view=Actor&id=emilyblunt.htm | /people/chart/?view=Actor&id=rebeccaferguson.htm | /people/chart/?view=Actor&id=lukeevans.htm | /people/chart/?view=Actor&id=allisonjanney.htm | /people/chart/?view=Actor&id=edgarramirez.htm | /people/chart/?view=Actor&id=lisakudrow.htm | ,Marc Platt | ,/people/chart/?view=Producer&id=marcplatt.htm | ,Charlotte Bruus Christensen | ,/people/chart/?view=Cinematographer&id=charlottebruuschristensen.htm | ,,
43,Storks,http://www.boxofficemojo.com//movies/?id=storks.htm,72679278,3922,21311407,3922,9/23,1/12,$70 million,WB,Animation,1 hrs. 29 min.,PG,Nick Stoller | ,/people/chart/?view=Director&id=nickstoller.htm | ,Nick Stoller | ,/people/chart/?view=Writer&id=nickstoller.htm | ,Andy Samberg | Jennifer Aniston | Ty Burrell | Kelsey Grammer | Jordan Peele | ,/people/chart/?view=Actor&id=andysamberg.htm | /people/chart/?view=Actor&id=jenniferaniston.htm | /people/chart/?view=Actor&id=tyburrell.htm | /people/chart/?view=Actor&id=kelseygrammer.htm | /people/chart/?view=Actor&id=jordanpeele.htm | ,Brad Lewis | Nick Stoller | ,/people/chart/?view=Producer&id=bradlewis.htm | /people/chart/?view=Producer&id=nickstoller.htm | ,,,,
45,Lights Out,http://www.boxofficemojo.com//movies/?id=newline0116.htm,67268835,2835,21688103,2818,7/22,9/29,$4.9 million,WB (NL),Horror,1 hrs. 21 min.,PG-13,David F. Sandberg | ,/people/chart/?view=Director&id=davidsandberg.htm | ,Eric Heisserer | ,/people/chart/?view=Writer&id=ericheisserer.htm | ,Teresa Palmer | Billy Burke | Maria Bello | ,/people/chart/?view=Actor&id=teresapalmer.htm | /people/chart/?view=Actor&id=billyburke.htm | /people/chart/?view=Actor&id=mariabello.htm | ,Eric Heisserer | James Wan | ,/people/chart/?view=Producer&id=ericheisserer.htm | /people/chart/?view=Producer&id=jameswan.htm | ,,,,
47,The Divergent Series: Allegiant,http://www.boxofficemojo.com//movies/?id=allegiant.htm,66184051,3740,29027348,3740,3/18,6/2,N/A,LG/S,Action / Adventure,2 hrs. 1 min.,PG-13,Robert Schwentke | ,/people/chart/?view=Director&id=robertschwentke.htm | ,,,Ansel Elgort | Theo James | Octavia Spencer | Ray Stevenson | Miles Teller | Naomi Watts | Shailene Woodley | ,/people/chart/?view=Actor&id=anselelgort.htm | /people/chart/?view=Actor&id=theojames.htm | /people/chart/?view=Actor&id=octaviaspencer.htm | /people/chart/?view=Actor&id=raystevenson.htm | /people/chart/?view=Actor&id=milesteller.htm | /people/chart/?view=Actor&id=naomiwatts.htm | /people/chart/?view=Actor&id=shailenewoodley.htm | ,Lucy Fisher | Douglas Wick | ,/people/chart/?view=Producer&id=lucyfisher.htm | /people/chart/?view=Producer&id=douglaswick.htm | ,,,,
49,Ice Age: Collision Course,http://www.boxofficemojo.com//movies/?id=iceage5.htm,64063008,3997,21373064,3992,7/22,11/3,$105 million,Fox,Animation,1 hrs. 34 min.,PG,,,,,Adam DeVine | John Leguizamo | Queen Latifah | Simon Pegg | Jennifer Lopez | ,/people/chart/?view=Actor&id=adamdevine.htm | /people/chart/?view=Actor&id=johnleguizamo.htm | /people/chart/?view=Actor&id=queenlatifah.htm | /people/chart/?view=Actor&id=simonpegg.htm | /people/chart/?view=Actor&id=jenniferlopez.htm | ,,,,,,
51,London Has Fallen,http://www.boxofficemojo.com//movies/?id=londonhasfallen.htm,62524260,3492,21635601,3490,3/4,6/2,$60 million,Focus,Action,1 hrs. 39 min.,R,,,,,Angela Bassett | Gerard Butler | Aaron Eckhart | Morgan Freeman | Jackie Earle Haley | Melissa Leo | Radha Mitchell | ,/people/chart/?view=Actor&id=angelabassett.htm | /people/chart/?view=Actor&id=gerardbutler.htm | /people/chart/?view=Actor&id=aaroneckhart.htm | /people/chart/?view=Actor&id=morganfreeman.htm | /people/chart/?view=Actor&id=jackieearlehaley.htm | /people/chart/?view=Actor&id=melissaleo.htm | /people/chart/?view=Actor&id=radhamitchell.htm | ,Peter Schlessel | ,/people/chart/?view=Producer&id=peterschlessel.htm | ,,,,
53,Deepwater Horizon,http://www.boxofficemojo.com//movies/?id=deepwaterhorizon.htm,61433527,3403,20223544,3259,9/30,12/15,$110 million,LG/S,Action Drama,1 hrs. 47 min.,PG-13,Peter Berg | ,/people/chart/?view=Director&id=peterberg.htm | ,Matthew Michael Carnahan | ,/people/chart/?view=Writer&id=mmcarnahan.htm | ,Mark Wahlberg | Kurt Russell | Gina Rodriguez | John Malkovich | Kate Hudson | Peter Berg | ,/people/chart/?view=Actor&id=markwahlberg.htm | /people/chart/?view=Actor&id=kurtrussell.htm | /people/chart/?view=Actor&id=ginarodriguez.htm | /people/chart/?view=Actor&id=johnmalkovich.htm | /people/chart/?view=Actor&id=katehudson.htm | /people/chart/?view=Actor&id=peterberg.htm | ,Lorenzo di Bonaventura | Mark Vahradian | ,/people/chart/?view=Producer&id=lorenzodibonaventura.htm | /people/chart/?view=Producer&id=markvahradian.htm | ,,,Steve Jablonsky | ,/people/chart/?view=Composer&id=stevejablonsky.htm | 
55,My Big Fat Greek Wedding 2,http://www.boxofficemojo.com//movies/?id=mybigfatgreekwedding2.htm,59689605,3179,17861950,3133,3/25,5/26,N/A,Uni.,Comedy,1 hrs. 34 min.,PG-13,Kirk Jones | ,/people/chart/?view=Director&id=kirkjones.htm | ,,,John Corbett | Nia Vardalos | ,/people/chart/?view=Actor&id=johncorbett.htm | /people/chart/?view=Actor&id=niavardalos.htm | ,,,,,,
57,Fences,http://www.boxofficemojo.com//movies/?id=fences.htm,57682904,2368,129462,4,12/25,3/30,$24 million,Par.,Drama,2 hrs. 18 min.,PG-13,Denzel Washington | ,/people/chart/?view=Director&id=denzelwashington.htm | ,,,Denzel Washington | Viola Davis | ,/people/chart/?view=Actor&id=denzelwashington.htm | /people/chart/?view=Actor&id=violadavis.htm | ,,,Charlotte Bruus Christensen | ,/people/chart/?view=Cinematographer&id=charlottebruuschristensen.htm | ,,
59,The BFG,http://www.boxofficemojo.com//movies/?id=bfg.htm,55483770,3392,18775350,3357,7/1,10/13,$140 million,BV,Adventure,1 hrs. 57 min.,PG,Steven Spielberg | ,/people/chart/?view=Director&id=stevenspielberg.htm | ,,,Mark Rylance | Rebecca Hall | Jemaine Clement | ,/people/chart/?view=Actor&id=markrylance.htm | /people/chart/?view=Actor&id=rebeccahall.htm | /people/chart/?view=Actor&id=jemaineclement.htm | ,Frank Marshall | Steven Spielberg | ,/people/chart/?view=Producer&id=frankmarshall.htm | /people/chart/?view=Producer&id=stevenspielberg.htm | ,,,John Williams | ,/people/chart/?view=Composer&id=johnwilliams.htm | 
61,The Shallows,http://www.boxofficemojo.com//movies/?id=theshallows.htm,55124043,2962,16800868,2962,6/24,9/29,$17 million,Sony,Horror,1 hrs. 25 min.,PG-13,Jaume Collet-Serra | ,/people/chart/?view=Director&id=jaumecolletserra.htm | ,,,Blake Lively | ,/people/chart/?view=Actor&id=blakelively.htm | ,,,,,,
63,Assassin's Creed,http://www.boxofficemojo.com//movies/?id=assassinscreed.htm,54647948,2996,10278225,2970,12/21,3/9,$125 million,Fox,Action,2 hrs. 20 min.,PG-13,,,Michael Lesslie | Adam Cooper | Bill Collage | ,/people/chart/?view=Writer&id=michaellesslie.htm | /people/chart/?view=Writer&id=adamcooper.htm | /people/chart/?view=Writer&id=billcollage.htm | ,Michael Fassbender | Marion Cotillard | Jeremy Irons | Brendan Gleeson | Michael K. Williams | ,/people/chart/?view=Actor&id=michaelfassbender.htm | /people/chart/?view=Actor&id=marioncotillard.htm | /people/chart/?view=Actor&id=jeremyirons.htm | /people/chart/?view=Actor&id=brendangleeson.htm | /people/chart/?view=Actor&id=michaelkwilliams.htm | ,Patrick Crowley | Michael Fassbender | Frank Marshall | Arnon Milchan | ,/people/chart/?view=Producer&id=patrickcrowley.htm | /people/chart/?view=Producer&id=michaelfassbender.htm | /people/chart/?view=Producer&id=frankmarshall.htm | /people/chart/?view=Producer&id=arnonmilchan.htm | ,,,,
65,13 Hours: The Secret Soldiers of Benghazi,http://www.boxofficemojo.com//movies/?id=13hoursthesecretsoldiersofbenghazi.htm,52853219,2917,16194738,2389,1/15,3/24,$50 million,Par.,Drama,2 hrs. 24 min.,R,Michael Bay | ,/people/chart/?view=Director&id=michaelbay.htm | ,,,John Krasinski | ,/people/chart/?view=Actor&id=johnkrasinski.htm | ,,,,,,
67,Kubo and the Two Strings,http://www.boxofficemojo.com//movies/?id=kuboandthetwostrings.htm,48023088,3279,12608372,3260,8/19,12/1,$60 million,Focus,Animation,1 hrs. 41 min.,PG,Travis Knight | ,/people/chart/?view=Director&id=travisknight.htm | ,,,Matthew McConaughey | Charlize Theron | Rooney Mara | Ralph Fiennes | ,/people/chart/?view=Actor&id=matthewmcconaughey.htm | /people/chart/?view=Actor&id=charlizetheron.htm | /people/chart/?view=Actor&id=rooneymara.htm | /people/chart/?view=Actor&id=ralphfiennes.htm | ,,,,,Dario Marianelli | ,/people/chart/?view=Composer&id=dariomarianelli.htm | 
69,Warcraft,http://www.boxofficemojo.com//movies/?id=warcraft.htm,47365290,3406,24166110,3400,6/10,9/8,$160 million,Uni.,Fantasy,2 hrs. 3 min.,PG-13,Duncan Jones | ,/people/chart/?view=Director&id=duncanjones.htm | ,Duncan Jones | Charles Leavitt | ,/people/chart/?view=Writer&id=duncanjones.htm | /people/chart/?view=Writer&id=charlesleavitt.htm | ,Ben Foster | Paula Patton | Dominic Cooper | ,/people/chart/?view=Actor&id=benfoster.htm | /people/chart/?view=Actor&id=paulapatton.htm | /people/chart/?view=Actor&id=dominiccooper.htm | ,Jon Jashni | Charles Roven | Thomas Tull | ,/people/chart/?view=Producer&id=jonjashni.htm | /people/chart/?view=Producer&id=charlesroven.htm | /people/chart/?view=Producer&id=thomastull.htm | ,,,,
71,Mike and Dave Need Wedding Dates,http://www.boxofficemojo.com//movies/?id=mikeanddave.htm,46009673,3008,16628170,2982,7/8,10/13,$33 million,Fox,Comedy,1 hrs. 38 min.,R,,,,,Adam DeVine | Zac Efron | Anna Kendrick | Aubrey Plaza | ,/people/chart/?view=Actor&id=adamdevine.htm | /people/chart/?view=Actor&id=zacefron.htm | /people/chart/?view=Actor&id=annakendrick.htm | /people/chart/?view=Actor&id=aubreyplaza.htm | ,,,,,,
73,Almost Christmas,http://www.boxofficemojo.com//movies/?id=ameyerschristmas.htm,42065185,2379,15134235,2376,11/11,1/5,$17 million,Uni.,Comedy,1 hrs. 52 min.,PG-13,,,,,Danny Glover | Omar Epps | Mo'Nique | ,/people/chart/?view=Actor&id=dannyglover.htm | /people/chart/?view=Actor&id=omarepps.htm | /people/chart/?view=Actor&id=monique.htm | ,Will Packer | ,/people/chart/?view=Producer&id=willpacker.htm | ,,,,
75,Allied,http://www.boxofficemojo.com//movies/?id=pittcotillard.htm,40098064,3160,12701743,3160,11/23,1/26,$85 million,Par.,Romantic Thriller,2 hrs. 1 min.,R,Robert Zemeckis | ,/people/chart/?view=Director&id=robertzemeckis.htm | ,Steven Knight | ,/people/chart/?view=Writer&id=stevenknight.htm | ,Marion Cotillard | Brad Pitt | ,/people/chart/?view=Actor&id=marioncotillard.htm | /people/chart/?view=Actor&id=bradpitt.htm | ,,,,,Alan Silvestri | ,/people/chart/?view=Composer&id=alansilvestri.htm | 
77,Risen,http://www.boxofficemojo.com//movies/?id=risen.htm,36880033,2915,11801271,2915,2/19,5/19,$20 million,Sony,Action / Adventure,1 hrs. 47 min.,PG-13,Kevin Reynolds | ,/people/chart/?view=Director&id=kevinreynolds.htm | ,,,,,,,,,,
79,The Boy (2016),http://www.boxofficemojo.com//movies/?id=boy2016.htm,35819556,2671,10778392,2671,1/22,3/31,$10 million,STX,Horror,1 hrs. 38 min.,PG-13,William Brent Bell | ,/people/chart/?view=Director&id=williambrentbell.htm | ,,,,,,,Daniel Pearl | ,/people/chart/?view=Cinematographer&id=danielpearl.htm | ,,
81,Ouija: Origin of Evil,http://www.boxofficemojo.com//movies/?id=blumhouse3.htm,35144505,3168,14065500,3167,10/21,12/29,$9 million,Uni.,Horror,1 hrs. 39 min.,PG-13,Mike Flanagan | ,/people/chart/?view=Director&id=mikeflanagan.htm | ,Mike Flanagan | Jeff Howard | ,/people/chart/?view=Writer&id=mikeflanagan.htm | /people/chart/?view=Writer&id=jeffhoward.htm | ,,,Michael Bay | Jason Blum | Andrew Form | Brad Fuller | ,/people/chart/?view=Producer&id=michaelbay.htm | /people/chart/?view=Producer&id=jasonblum.htm | /people/chart/?view=Producer&id=andrewform.htm | /people/chart/?view=Producer&id=bradfuller.htm | ,,,,
83,Inferno,http://www.boxofficemojo.com//movies/?id=inferno2015.htm,34343574,3576,14860425,3576,10/28,1/19,$75 million,Sony,Thriller,2 hrs. 1 min.,PG-13,Ron Howard | ,/people/chart/?view=Director&id=ronhoward.htm | ,David Koepp | ,/people/chart/?view=Writer&id=davidkoepp.htm | ,Tom Hanks | Felicity Jones | Irrfan Khan | Ben Foster | Omar Sy | Ben Foster | ,/people/chart/?view=Actor&id=tomhanks.htm | /people/chart/?view=Actor&id=felicityjones.htm | /people/chart/?view=Actor&id=irrfankhan.htm | /people/chart/?view=Actor&id=benfoster.htm | /people/chart/?view=Actor&id=omarsy.htm | /people/chart/?view=Actor&id=benfoster.htm | ,Brian Grazer | Ron Howard | ,/people/chart/?view=Producer&id=briangrazer.htm | /people/chart/?view=Producer&id=ronhoward.htm | ,,,Hans Zimmer | ,/people/chart/?view=Composer&id=hanszimmer.htm | 
85,Gods of Egypt,http://www.boxofficemojo.com//movies/?id=godsofegypt.htm,31153464,3117,14123903,3117,2/26,5/12,$140 million,LG/S,Action / Adventure,2 hrs. 7 min.,PG-13,Alex Proyas | ,/people/chart/?view=Director&id=alexproyas.htm | ,Matt Sazama | Burk Sharpless | ,/people/chart/?view=Writer&id=mattsazama.htm | /people/chart/?view=Writer&id=burksharpless.htm | ,Gerard Butler | Geoffrey Rush | ,/people/chart/?view=Actor&id=gerardbutler.htm | /people/chart/?view=Actor&id=geoffreyrush.htm | ,Stephen Jones | Alex Proyas | ,/people/chart/?view=Producer&id=stephenjones.htm | /people/chart/?view=Producer&id=alexproyas.htm | ,,,,
87,"Hail, Caesar!",http://www.boxofficemojo.com//movies/?id=hailcaesar.htm,30498085,2248,11355225,2232,2/5,6/30,$22 million,Uni.,Comedy,1 hrs. 40 min.,PG-13,Ethan Coen | Joel Coen | ,/people/chart/?view=Director&id=ethancoen.htm | /people/chart/?view=Director&id=joelcoen.htm | ,Ethan Coen | Joel Coen | ,/people/chart/?view=Writer&id=ethancoen.htm | /people/chart/?view=Writer&id=joelcoen.htm | ,Josh Brolin | George Clooney | Ralph Fiennes | Tilda Swinton | Channing Tatum | Scarlett Johansson | Jonah Hill | ,/people/chart/?view=Actor&id=joshbrolin.htm | /people/chart/?view=Actor&id=georgeclooney.htm | /people/chart/?view=Actor&id=ralphfiennes.htm | /people/chart/?view=Actor&id=tildaswinton.htm | /people/chart/?view=Actor&id=channingtatum.htm | /people/chart/?view=Actor&id=scarlettjohansson.htm | /people/chart/?view=Actor&id=jonahhill.htm | ,Tim Bevan | Ethan Coen | Joel Coen | Eric Fellner | ,/people/chart/?view=Producer&id=timbevan.htm | /people/chart/?view=Producer&id=ethancoen.htm | /people/chart/?view=Producer&id=joelcoen.htm | /people/chart/?view=Producer&id=ericfellner.htm | ,Roger Deakins | ,/people/chart/?view=Cinematographer&id=rogerdeakins.htm | ,Carter Burwell | ,/people/chart/?view=Composer&id=carterburwell.htm | 
89,Zoolander 2,http://www.boxofficemojo.com//movies/?id=zoolander2.htm,28848693,3418,13841146,3394,2/12,3/31,N/A,Par.,Comedy,1 hrs. 40 min.,PG-13,Ben Stiller | ,/people/chart/?view=Director&id=benstiller.htm | ,Ben Stiller | Nick Stoller | ,/people/chart/?view=Writer&id=benstiller.htm | /people/chart/?view=Writer&id=nickstoller.htm | ,Penelope Cruz | Will Ferrell | Ben Stiller | Kristen Wiig | Owen Wilson | ,/people/chart/?view=Actor&id=penelopecruz.htm | /people/chart/?view=Actor&id=willferrell.htm | /people/chart/?view=Actor&id=benstiller.htm | /people/chart/?view=Actor&id=kristenwiig.htm | /people/chart/?view=Actor&id=owenwilson.htm | ,,,,,,
91,The Finest Hours,http://www.boxofficemojo.com//movies/?id=finesthours.htm,27569558,3143,10288932,3143,1/29,4/7,N/A,BV,Thriller,1 hrs. 49 min.,PG-13,Craig Gillespie | ,/people/chart/?view=Director&id=craiggillespie.htm | ,,,Kyle Gallner | Chris Pine | Casey Affleck | ,/people/chart/?view=Actor&id=kylegallner.htm | /people/chart/?view=Actor&id=chrispine.htm | /people/chart/?view=Actor&id=caseyaffleck.htm | ,,,,,Carter Burwell | ,/people/chart/?view=Composer&id=carterburwell.htm | 
93,Hell or High Water,http://www.boxofficemojo.com//movies/?id=hellorhighwater.htm,27007844,1505,621329,32,8/26,11/17,$12 million,LGF,Action Drama,1 hrs. 42 min.,R,,,,,Jeff Bridges | Chris Pine | Ben Foster | ,/people/chart/?view=Actor&id=jeffbridges.htm | /people/chart/?view=Actor&id=chrispine.htm | /people/chart/?view=Actor&id=benfoster.htm | ,Sidney Kimmel | Peter Berg | Julie Yorn | ,/people/chart/?view=Producer&id=sidneykimmel.htm | /people/chart/?view=Producer&id=peterberg.htm | /people/chart/?view=Producer&id=julieyorn.htm | ,,,Nick Cave | Warren Ellis | ,/people/chart/?view=Composer&id=nickcave.htm | /people/chart/?view=Composer&id=warrenellis.htm | 
95,Ben-Hur (2016),http://www.boxofficemojo.com//movies/?id=benhur2016.htm,26410477,3084,11203815,3084,8/19,10/6,$100 million,Par.,Historical Epic,2 hrs. 3 min.,PG-13,Timur Bekmambetov | ,/people/chart/?view=Director&id=timurbekmambetov.htm | ,John Ridley | ,/people/chart/?view=Writer&id=johnridley.htm | ,Rodrigo Santoro | Morgan Freeman | ,/people/chart/?view=Actor&id=rodrigosantoro.htm | /people/chart/?view=Actor&id=morganfreeman.htm | ,,,,,,
97,Bridget Jones's Baby,http://www.boxofficemojo.com//movies/?id=bridgetjonessbaby.htm,24252420,2930,8571785,2927,9/16,12/15,$35 million,Uni.,Romantic Comedy,2 hrs. 2 min.,R,Sharon Maguire | ,/people/chart/?view=Director&id=sharonmaguire.htm | ,,,Colin Firth | Renee Zellweger | ,/people/chart/?view=Actor&id=colinfirth.htm | /people/chart/?view=Actor&id=reneezellweger.htm | ,,,,,,
99,Whiskey Tango Foxtrot,http://www.boxofficemojo.com//movies/?id=untitledtinafeycomedy.htm,23083334,2413,7450275,2374,3/4,4/28,$35 million,Par.,Comedy,1 hrs. 52 min.,R,Glenn Ficarra | John Requa | ,/people/chart/?view=Director&id=glennficarra.htm | /people/chart/?view=Director&id=johnrequa.htm | ,,,Tina Fey | Margot Robbie | Martin Freeman | Alfred Molina | Billy Bob Thornton | ,/people/chart/?view=Actor&id=tinafey.htm | /people/chart/?view=Actor&id=margotrobbie.htm | /people/chart/?view=Actor&id=martinfreeman.htm | /people/chart/?view=Actor&id=alfredmolina.htm | /people/chart/?view=Actor&id=billybobthornton.htm | ,Ian Bryce | Tina Fey | Lorne Michaels | ,/people/chart/?view=Producer&id=ianbryce.htm | /people/chart/?view=Producer&id=tinafey.htm | /people/chart/?view=Producer&id=lornemichaels.htm | ,,,,
2,Finding Dory,http://www.boxofficemojo.com//movies/?id=pixar2015.htm,486295561,4305,135060273,4305,6/17,12/8,N/A,BV,Animation,1 hrs. 43 min.,PG,Andrew Stanton | ,/people/chart/?view=Director&id=andrewstanton.htm | ,Andrew Stanton | ,/people/chart/?view=Writer&id=andrewstanton.htm | ,Ellen DeGeneres | Albert Brooks | Ty Burrell* | Diane Keaton* | Idris Elba* | Andrew Stanton* | Bob Peterson* | Sigourney Weaver* | ,/people/chart/?view=Actor&id=ellendegeneres.htm | /people/chart/?view=Actor&id=albertbrooks.htm | /people/chart/?view=Actor&id=tyburrell.htm | /people/chart/?view=Actor&id=dianekeaton.htm | /people/chart/?view=Actor&id=idriselba.htm | /people/chart/?view=Actor&id=andrewstanton.htm | /people/chart/?view=Actor&id=bobpeterson.htm | /people/chart/?view=Actor&id=sigourneyweaver.htm | ,,,,,Thomas Newman | ,/people/chart/?view=Composer&id=thomasnewman.htm | 
4,The Secret Life of Pets,http://www.boxofficemojo.com//movies/?id=illumination2015.htm,368384330,4381,104352905,4370,7/8,12/29,$75 million,Uni.,Animation,1 hrs. 30 min.,PG,Chris Renaud | ,/people/chart/?view=Director&id=chrisrenaud.htm | ,Ken Daurio | Cinco Paul | ,/people/chart/?view=Writer&id=kendaurio.htm | /people/chart/?view=Writer&id=cincopaul.htm | ,Dana Carvey* | Kevin Hart | ,/people/chart/?view=Actor&id=danacarvey.htm | /people/chart/?view=Actor&id=kevinhart.htm | ,Janet Healy | Christopher Meledandri | ,/people/chart/?view=Producer&id=janethealy.htm | /people/chart/?view=Producer&id=christophermeledandri.htm | ,,,Alexandre Desplat | ,/people/chart/?view=Composer&id=alexandredesplat.htm | 
