,author,author_link,date,iscore,meta_movie_name,mixed,moviename,moviename_x,negative,num_crit,positive,rank,release_date,source,source_link,summary,total_score
14,Todd McCarthy,http://www.metacritic.com//critic/todd-mccarthy?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Hollywood Reporter,http://www.metacritic.com//publication/the-hollywood-reporter?filter=movies,"What fans will get here is loads of action, great effects, good comic relief, stunning locations (Iceland, Jordan and the Maldives) and some intriguing early glimpses of the Galactic Empire as it begins to flex its inter-galactic power.",65
15,Robbie Collin,http://www.metacritic.com//critic/robbie-collin?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Telegraph,http://www.metacritic.com//publication/the-telegraph?filter=movies,"But in its best moments, there’s a yarn-spinning intimacy to it too – an old war story told around a spectacular campfire.",65
16,Peter Bradshaw,http://www.metacritic.com//critic/peter-bradshaw?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Guardian,http://www.metacritic.com//publication/the-guardian?filter=movies,This is another really entertaining fantasy with fan-fiction energy and attack.,65
17,Marc Savlov,http://www.metacritic.com//critic/marc-savlov?filter=movies,"Dec 14, 2016",78.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Austin Chronicle,http://www.metacritic.com//publication/austin-chronicle?filter=movies,"It starts off slow and somewhat clunky, but by the time the mind-blowing third act arrives, it’s all a fan can do not to stand up and cheer.",65
18,James Berardinelli,http://www.metacritic.com//critic/james-berardinelli?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",ReelViews,http://www.metacritic.com//publication/reelviews?filter=movies,Rogue One is a better movie than The Force Awakens - something that elevates it considerably over its “secondary” designation.,65
19,Sara Stewart,http://www.metacritic.com//critic/sara-stewart?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",New York Post,http://www.metacritic.com//publication/new-york-post?filter=movies,"By the time its credits rolled, I was ready to forgive Rogue One any imperfections. Its last 10 minutes are spectacular and dark, with a final flourish that should give any “Star Wars” fan goose bumps — and a new hope that the next main installment will be this good.",65
20,Ignatiy Vishnevetsky,http://www.metacritic.com//critic/ignatiy-vishnevetsky?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The A.V. Club,http://www.metacritic.com//publication/the-av-club?filter=movies,"It has undeniable weaknesses: an underwritten protagonist, a generic villain, a shortage of interesting personalities. (No knock against the large cast, which is mostly very good, but underused.) But in many other respects, it is a better film than last year’s Star Wars: The Force Awakens: leaner, darker, with a distinct visual style and an actual ending that feels like a denial of blockbuster expectations simply because it shows basic narrative integrity.",65
21,Soren Andersen,http://www.metacritic.com//critic/soren-andersen?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Seattle Times,http://www.metacritic.com//publication/the-seattle-times?filter=movies,"The action sequences, both on the ground and in space, are rousingly staged. But the losses incurred in those sequences are sobering. The stakes in the “Star Wars” rebellion are high indeed.",65
22,Steve Persall,http://www.metacritic.com//critic/steve-persall?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Tampa Bay Times,http://www.metacritic.com//publication/tampa-bay-times?filter=movies,Rogue One will engage such diehards but making new friends for the brand is unlikely.,65
23,Michael Phillips,http://www.metacritic.com//critic/michael-phillips?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Chicago Tribune,http://www.metacritic.com//publication/chicago-tribune?filter=movies,"I do wish Felicity Jones’ character popped the way Daisy Ridley’s did in last year’s franchise offering. “The Force Awakens,” directed by J.J. Abrams, was smooth, consistent, even-toned, nostalgic. Rogue One zigzags, and it’s more willfully jarring. Yet it takes time for callbacks and shout-outs to characters we’ve seen before, and we’ll see again. And again. And again.",65
24,Roger Moore,http://www.metacritic.com//critic/roger-moore?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Movie Nation,http://www.metacritic.com//publication/movie-nation?filter=movies,"It’s almost wholly satisfying — witty, warm and entertaining — a film in which fatalism isn’t a joke, where pitiless death is doled out by Empire and Rebellion, where those deaths have weight and meaning, where suspense is genuine.",65
25,David Edelstein,http://www.metacritic.com//critic/david-edelstein?filter=movies,"Dec 14, 2016",70.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",New York Magazine (Vulture),http://www.metacritic.com//publication/new-york-magazine-vulture?filter=movies,"The movie didn’t rekindle the thrill of seeing, say, The Empire Strikes Back, but Rogue One will loom pretty large in the Star Wars galaxy — if only because there’s so little competition.",65
26,Forrest Wickman,,"Dec 13, 2016",70.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Slate,http://www.metacritic.com//publication/slate?filter=movies,"By breaking some of the rules, Rogue One has made itself the first movie since The Empire Strikes Back to redefine the boundaries of what a Star Wars movie can be. The Force Awakens may have reanimated the once-dormant franchise, but it’s Rogue One that will give Star Wars fans a new hope.",65
27,Justin Chang,http://www.metacritic.com//critic/justin-chang?filter=movies,"Dec 13, 2016",70.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Los Angeles Times,http://www.metacritic.com//publication/los-angeles-times?filter=movies,"A swiftly paced, rough-and-ready entertainment that, in anticipating the canonical events of “A New Hope,” manages the tricky feat of seeming at once casually diverting and hugely consequential.",65
28,Peter Debruge,http://www.metacritic.com//critic/peter-debruge?filter=movies,"Dec 13, 2016",70.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Variety,http://www.metacritic.com//publication/variety?filter=movies,Director Gareth Edwards has finally made the first “Star Wars” movie for grown-ups.,65
29,Matt Donato,http://www.metacritic.com//critic/matt-donato?filter=movies,"Dec 13, 2016",70.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",We Got This Covered,http://www.metacritic.com//publication/we-got-this-covered?filter=movies,Rogue One makes up for a shaky first act by punching into overdrive for an outstanding third act battle sequence that overwhelms in scale and intensity.,65
30,Bob Mondello,http://www.metacritic.com//critic/bob-mondello?filter=movies,"Dec 16, 2016",65.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",NPR,http://www.metacritic.com//publication/npr?filter=movies,"With all the aerial dogfights, armored combat vehicles, grenades, flame-throwers and snipers, Rogue One feels like a film for those who think that most Star Wars movies are insufficiently like World War II flicks. Or maybe that they should more closely resemble computer games.",65
31,Ty Burr,http://www.metacritic.com//critic/ty-burr?filter=movies,"Dec 13, 2016",63.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Boston Globe,http://www.metacritic.com//publication/boston-globe?filter=movies,"The cast does good work, despite a less-than-great screenplay.",65
32,Ann Hornaday,http://www.metacritic.com//critic/ann-hornaday?filter=movies,"Dec 13, 2016",63.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Washington Post,http://www.metacritic.com//publication/washington-post?filter=movies,"By no stretch is this a disaster on a par with Lucas’s misbegotten prequel trilogy. Still, at least until its final section, Rogue One lacks the zip, zing and exhilarating sense of return to form that “The Force Awakens” conveyed so lightly.",65
33,Brian Truitt,http://www.metacritic.com//critic/brian-truitt?filter=movies,"Dec 13, 2016",63.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",USA Today,http://www.metacritic.com//publication/usa-today?filter=movies,"Rogue One is often undermined by its close ties to George Lucas’ original trilogy, and more emphasis is put on its central mission than its fresh-faced characters.",65
34,Sam C. Mac,http://www.metacritic.com//critic/sam-c-mac?filter=movies,"Dec 13, 2016",63.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Slant Magazine,http://www.metacritic.com//publication/slant-magazine?filter=movies,Rogue One is less the fetish object that The Force Awakens is because it at least has the ambitions to create its own character dynamics and plot routes rather than coast on existing ones.,65
35,Matt Singer,http://www.metacritic.com//critic/matt-singer?filter=movies,"Dec 13, 2016",60.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",ScreenCrush,http://www.metacritic.com//publication/screencrush?filter=movies,"Edwards is very good at crafting images that straddle the uncomfortable line between beauty and horror, and at dwarfing people with giant monsters and machines with powers beyond mortal comprehension. It’s his comprehension of mortals that sometimes feels lacking.",65
36,Daniel Schindel,http://www.metacritic.com//critic/daniel-schindel?filter=movies,"Dec 13, 2016",58.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Film Stage,http://www.metacritic.com//publication/the-film-stage?filter=movies,"Action is Rogue One’s strongest suit, and what makes all the faffing about bearable.",65
37,Michael Roffman,http://www.metacritic.com//critic/michael-roffman?filter=movies,"Dec 13, 2016",58.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Consequence of Sound,http://www.metacritic.com//publication/consequence-of-sound?filter=movies,"For a film that’s all about hope and rebellion, it’s kind of ironic how it’s such a conflicted mess in and of itself. The Force should have been stronger with this one.",65
38,David Ehrlich,http://www.metacritic.com//critic/david-ehrlich?filter=movies,"Dec 13, 2016",58.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Indiewire,http://www.metacritic.com//publication/indiewire?filter=movies,"Not only is “Rogue One” the rare modern blockbuster that could have afforded to risk something real, it’s the rare modern blockbuster that gave itself a genuine responsibility to do so. And yet, for all of its excitement and occasional splendor, there’s nothing the least bit rebellious about it. It could have been special, instead it’s just… forced.",65
39,Stephanie Zacharek,http://www.metacritic.com//critic/stephanie-zacharek?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Time,http://www.metacritic.com//publication/time?filter=movies,"The story hits every expected beat, right when you expect it to. And it squanders some of its best resources.",65
40,A.O. Scott,http://www.metacritic.com//critic/ao-scott?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The New York Times,http://www.metacritic.com//publication/the-new-york-times?filter=movies,"Plots and subplots are handled with clumsy expediency, and themes that might connect this movie with the larger Lucasfilm mythos aren’t allowed to develop. You’re left wanting both more and less.",65
